EU->15 years-no_fund-software,1244
EU-undefined-no_fund-software,0
ASIA-< 7 years-no_fund-software,114
ASIA-<10 years-no_fund-software,378
ASIA-<15 years-no_fund-software,406
ASIA->15 years-no_fund-software,483
ASIA-undefined-no_fund-software,0
CAN-< 7 years-no_fund-software,30
CAN-<10 years-no_fund-software,111
CAN-<15 years-no_fund-software,112
CAN->15 years-no_fund-software,272
CAN-undefined-no_fund-software,0
OC-< 7 years-no_fund-software,14
OC-<10 years-no_fund-software,41
OC-<15 years-no_fund-software,64
OC->15 years-no_fund-software,100
OC-undefined-no_fund-software,0
SA-< 7 years-no_fund-software,11
SA-<10 years-no_fund-software,60
SA-<15 years-no_fund-software,43
SA->15 years-no_fund-software,45
SA-undefined-no_fund-software,0
AF-< 7 years-no_fund-software,7
AF-<10 years-no_fund-software,39
AF-<15 years-no_fund-software,25
AF->15 years-no_fund-software,18
AF-undefined-no_fund-software,0
USA-< 7 years-<1 month-web,30
USA-<10 years-<1 month-web,114
USA-<15 years-<1 month-web,159
USA->15 years-<1 month-web,21
USA-undefined-<1 month-web,0
EU-< 7 years-<1 month-web,34
EU-<10 years-<1 month-web,58
EU-<15 years-<1 month-web,47
EU->15 years-<1 month-web,3
EU-undefined-<1 month-web,0
ASIA-< 7 years-<1 month-web,7
ASIA-<10 years-<1 month-web,19
ASIA-<15 years-<1 month-web,22
ASIA->15 years-<1 month-web,1
ASIA-undefined-<1 month-web,0
CAN-< 7 years-<1 month-web,2
CAN-<10 years-<1 month-web,9
CAN-<15 years-<1 month-web,4
CAN->15 years-<1 month-web,0
CAN-undefined-<1 month-web,0
OC-< 7 years-<1 month-web,3
OC-<10 years-<1 month-web,3
OC-<15 years-<1 month-web,2
OC->15 years-<1 month-web,0
OC-undefined-<1 month-web,0
SA-< 7 years-<1 month-web,2
SA-<10 years-<1 month-web,6
SA-<15 years-<1 month-web,4
SA->15 years-<1 month-web,0
SA-undefined-<1 month-web,0
AF-< 7 years-<1 month-web,2
AF-<10 years-<1 month-web,1
AF-<15 years-<1 month-web,0
AF->15 years-<1 month-web,0
AF-undefined-<1 month-web,0
USA-< 7 years-<1 year-web,58
USA-<10 years-<1 year-web,204
USA-<15 years-<1 year-web,191
USA->15 years-<1 year-web,13
USA-undefined-<1 year-web,0
